Fish ID,Genotype,WT(g),LogWT,Elevation (m),LDH (IU/mg protein),LogLDH,CS (IU/mg protein,LogCS,OCR (mgO2/hr),LogOCR,AchE (uM/min/ml),LogAchE
Ol0-06,HYB,314.4,2.49748254,1311,2.90671885,0.46340303,0.02406819,-1.6185566,,,,
Ol0-07,RT,249.3,2.39672228,1311,2.59345794,0.41387921,0.02069252,-1.6841866,,,,
Ol0-08,HYB,155.4,2.19145101,1311,3.72752809,0.57142092,0.01516474,-1.819165,,,,
Ol0-09,HYB,140.8,2.14860265,1311,4.1149635,0.61436599,0.02319875,-1.6345354,,,,
Ol0-10,HYB,161.1,2.20709554,1311,2.95504386,0.47056393,,,,,,
Ol1-01,WCT,203,2.30749604,1402,2.75966851,0.44085692,0.02559528,-1.5918401,,,,
Ol1-02,WCT,1132,3.05384643,1402,1.41486811,0.15071596,0.01870179,-1.7281167,,,,
Ol1-03,HYB,653,2.81491318,1402,3.02549575,0.48079655,0.02036987,-1.6910118,,,,
Ol1-04,HYB,208.4,2.31889771,1402,2.00414938,0.30193009,0.01599239,-1.7960865,,,,
Ol1-05,HYB,105,2.0211893,1402,1.70955882,0.23288405,0.04080837,-1.3892507,,,,
Ol1-06,HYB,273.2,2.4364807,1402,2.02435312,0.30628627,0.01186319,-1.9257984,,,,
Ol1-07,HYB,626,2.79657433,1402,1.59275684,0.20214948,0.03419185,-1.4660773,,,,
Ol1-08,HYB,747.8,2.87378546,1402,3.65122616,0.56243873,0.01743068,-1.7586857,,,,
Ol1-09,WCT,316,2.49968708,1402,1.4986376,0.17569663,0.0388851,-1.4102167,,,,
Ol1-10,HYB,103.8,2.01619735,1402,3.31896552,0.52100274,0.03178175,-1.4978222,,,,
Ol2-01,WCT,102,2.00860017,1722,,,,,15.46,1.18920949,,
Ol2-06,WCT,41.5,1.6180481,1722,,,,,7.39,0.86864444,,
Ol2-08,WCT,132,2.12057393,1722,,,,,15.48,1.18977096,,
Ol2-11,WCT,79.6,1.90091307,1722,,,,,15.88,1.2008505,,
Ol2-14,WCT,61.9,1.79169065,1722,,,,,15.44,1.1886473,,
Ol2-41,WCT,83,1.91907809,1722,,,,,,,,
Ol2-42,WCT,73.5,1.86628734,1722,,,,,,,,
Ol2-43,WCT,129,2.11058971,1722,1.20971302,0.08268236,,,,,,
Ol2-44,WCT,90,1.95424251,1722,1.10236221,0.04232431,,,,,,
Ol2-45,WCT,192,2.28330123,1722,1.0671848,0.02823963,,,,,,
Ol2-46,WCT,16.1,1.20682588,1722,1.30784314,0.11655566,,,,,,
Ol2-47,WCT,22.5,1.35218252,1722,1.02394107,0.01027496,,,,,,
Ol2-48,WCT,24.8,1.39445168,1722,1.84812623,0.26673163,,,,,,
Ol2-49,WCT,33.2,1.52113808,1722,1.79093199,0.25307909,,,,,,
Ol2-50,WCT,62.5,1.79588002,1722,1.38909091,0.14273067,,,,,,
Ol2-61,WCT,88.0,1.945,1722,,,,,,,27.27,1.436
Ol2-62,WCT,102.5,2.011,1722,,,,,,,25.45,1.406
Ol2-63,WCT,32.0,1.506,1722,,,,,,,26.36,1.421
Ol2-64,WCT,113.6,2.055,1722,,,,,,,32.57,1.513
Ol2-65,WCT,199.5,2.300,1722,,,,,,,26.36,1.421
Ol2-66,WCT,14.5,1.162,1722,,,,,,,35.24,1.547
Ol2-67,WCT,28.0,1.448,1722,,,,,,,32.71,1.515
Ol2-68,WCT,27.4,1.438,1722,,,,,,,34.39,1.536
Ol2-69,WCT,40.4,1.606,1722,,,,,,,31.73,1.501
Ol2-70,WCT,66.6,1.824,1722,,,,,,,27.82,1.444
Ra1-01,WCT,50.3,1.70156799,1417,,,,,7.94,0.8998205,,
Ra1-03,WCT,69.5,1.8419848,1417,,,,,8.2,0.91381385,,
Ra1-06,WCT,69.1,1.83947805,1417,,,,,9.45,0.97543181,,
Ra1-10,HYB,17.1,1.23299611,1417,1.76993166,0.2479565,,,,,,
Ra1-16,HYB,81.8,1.9127533,1417,,,,,13.58,1.13289977,,
Ra1-18,WCT,45.7,1.6599162,1417,,,,,8.56278706,0.93261514,,
Ra1-19,WCT,89.2,1.95036485,1417,,,,,14.8528372,1.17180942,,
Ra1-21,HYB,586.9,2.76856411,1417,2.3534202,0.37169948,,,,,,
Ra1-24,HYB,47.9,1.68033551,1417,,,,,8.96688,0.95264136,,
Ra1-25,HYB,64.5,1.80955971,1417,,,,,10.7586,1.03175576,,
Ra1-27,WCT,91,1.95904139,1417,,,,,16.86,1.22685757,,
Ra1-30,HYB,74.9,1.87448182,1417,1.86,0.26951294,,,,,,
Ra1-31,WCT,69.6,1.84260924,1417,,,,,8.6,0.93449845,,
Ra1-40,HYB,283.4,2.45239985,1417,2.17588933,0.3376368,0.02421917,-1.6158407,,,,
Ra1-41,WCT,39,1.59106461,1417,1.9146283,0.28208447,0.03032868,-1.5181465,,,,
Ra1-42,WCT,409.1,2.61182948,1417,2.16126126,0.33470727,0.02892599,-1.5387118,,,,
Ra1-43,WCT,424.8,2.62818451,1417,2.4775641,0.3940249,0.02144608,-1.6686521,,,,
Ra1-44,WCT,487.7,2.68815276,1417,1.98778196,0.29836874,0.01974145,-1.704621,,,,
Ra1-45,WCT,158.7,2.20057693,1417,2.01502732,0.30428094,0.01846606,-1.7336257,,,,
Ra1-46,HYB,252.6,2.40243335,1417,2.171875,0.33683483,0.02838733,-1.5468754,,,,
Ra1-47,WCT,177.4,2.24895362,1417,2.34701493,0.37051585,0.02343521,-1.6301311,,,,
Ra1-48,WCT,164.4,2.21590181,1417,2.98461539,0.47488837,0.02549289,-1.5935809,,,,
